book_id,title,author_id,first_publish_year,author_name
OL2568868W,In the Night Kitchen,OL366346A,1889.0,Maurice Sendak
OL1802168W,Panaderia y Reposteria para profesionales/Professional Baking,OL216222A,1985.0,Wayne Gisslen
OL1802168W,Panaderia y Reposteria para profesionales/Professional Baking,OL3412520A,1985.0,W Gisslen
OL1802168W,Panaderia y Reposteria para profesionales/Professional Baking,OL7739076A,1985.0,Wayne Gisslen
OL1874828W,On baking,OL224488A,2004.0,Sarah R. Labensky
OL1874828W,On baking,OL3367646A,2004.0,Klaus G. Tenbergen
OL1874828W,On baking,OL2655431A,2004.0,Eddy Van Damme
OL1874828W,On baking,OL7702396A,2004.0,Priscilla A. Martel
OL1874828W,On baking,OL2650239A,2004.0,Alan M. Hause
OL1824104W,Grand livre de cuisine,OL218575A,2002.0,Alain Ducasse
OL1824104W,Grand livre de cuisine,OL6600101A,2002.0,Frédéric Robert
OL1824104W,Grand livre de cuisine,OL3145265A,2002.0,Frederic Robert
OL1824104W,Grand livre de cuisine,OL3953880A,2002.0,Frédéric Robert
OL1824104W,Grand livre de cuisine,OL12561548A,2002.0,Emma Gallegos
OL1824104W,Grand livre de cuisine,OL9943534A,2002.0,Esperanza Martínez Pérez
OL1824104W,Grand livre de cuisine,OL7284282A,2002.0,Esperanza Martínez
OL21043191W,Step-By-Step Practical Recipes,OL727759A,2015.0,Gina Steer
OL21043191W,Step-By-Step Practical Recipes,OL432189A,2015.0,Ann Nicol
OL16591917W,Rise & shine,OL7109354A,2012.0,Karen Ostrove
OL83047W,The Magic School Bus Gets Baked in a Cake,OL583666A,1995.0,Linda Ward Beech
OL809673W,The Delia Collection,OL68224A,2003.0,Delia Smith
OL32569W,Bunny Cakes (Max and Ruby),OL4427001A,1997.0,Rosemary Wells
OL32147209W,"The cook's own book, and housekeeper's register",OL11666635A,1835.0,"Lee, N. K. M. Mrs"
OL8874576W,Gifts in a Jar,OL3050804A,2001.0,Cq Products
OL174402W,Duchess Bakes a Cake,OL6925271A,1955.0,Virginia Kahl
OL11318217W,"Mmm, cookies!",OL3321665A,2000.0,Robert N Munsch
OL3752828W,Amy's Bread,OL659461A,1996.0,Amy Scherber
OL443621W,The rule of three,OL18865A,2009.0,Megan McDonald
OL22216561W,"The Modern baker, confectioner and caterer",OL4989210A,1908.0,John Kirkland
OL19720025W,Koala challah,OL7525635A,2017.0,Laura Gehl
OL20907526W,Albert the Muffin-maker,OL3082520A,2014.0,Eleanor May
OL8015841W,Dads Win Prizes,OL2668591A,1999.0,Debbie White
OL9367267W,The pastry chef's companion,OL3407892A,2008.0,Glenn Rinsky
OL9367267W,The pastry chef's companion,OL3407893A,2008.0,Laura Halpin Rinsky
OL8056208W,Bakery food manufacture and quality,OL2680944A,2008.0,Stanley P. Cauvain
OL3752827W,The sweeter side of Amy's Bread,OL659461A,2008.0,Amy Scherber
OL3686464W,Franklin and the Cookies,OL637323A,2004.0,Sharon Jennings
OL3686464W,Franklin and the Cookies,OL26595A,2004.0,Paulette Bourgeois
OL5706794W,Pinky Dinky Doo,OL1388476A,2004.0,Jim Jinkins
OL539786W,Starting with ingredients,OL38235A,2006.0,Aliza Green
OL4646286W,Practical baking,OL954525A,1965.0,William J. Sultan
OL4816092W,"A treatise on flour, yeast, fermentation, and baking",OL1015391A,1906.0,Julius Emil Wihlfahrt
OL4283728W,The simple art of perfect baking,OL830913A,1985.0,Flo Braker
OL21858865W,Brownies with Benjamin Franklin,OL627385A,2016.0,Jessica Anderson
OL15631919W,President of the whole fifth grade,OL1516098A,2010.0,Sherri Winston
OL26909782W,Out and about at the Bakery,OL10016340A,2002.0,Anne McMullen
OL26909782W,Out and about at the Bakery,OL409477A,2002.0,Jennifer A. Ericsson
OL15105540W,Fancy Nancy and the delectable cupcakes,OL31278A,2010.0,Jane O'Connor
OL1646086W,"Seventy-five receipts for pastry, cakes, and sweetmeats",OL183694A,1829.0,Eliza Leslie
OL8227446W,The Low-Carb Baking and Dessert Cookbook,OL2737609A,2004.0,Ursula Solom
OL272674W,The Baker's Apprentice,OL2628690A,2006.0,Judith R. Hendricks
OL8227472W,How Baking Works,OL2737622A,2003.0,Paula I. Figoni
OL727633W,English bread and yeast cookery,OL58678A,1977.0,Elizabeth David
OL8213008W,The Usborne Children's Book of Baking (Children's Cooking),OL2733067A,2006.0,Fiona Patchett
OL8494033W,100 Great Breads,OL2837909A,2004.0,Paul Hollywood     
OL2946628W,Loaves of Fun,OL449500A,1997.0,Elizabeth M. Harbison
OL29030179W,Professional Baking,OL7739076A,2012.0,Wayne Gisslen
OL2743304W,The Woman Who Fooled the Fairies,OL402340A,2005.0,Rose Impey
OL21255276W,Advances in Heat Transfer Unit Operations,OL8140265A,2016.0,Georgina Calderon-Dominguez
OL21255276W,Advances in Heat Transfer Unit Operations,OL8140266A,2016.0,Gustavo F. Gutierrez-Lopez
OL21255276W,Advances in Heat Transfer Unit Operations,OL8140267A,2016.0,Keshavan Niranjan
OL1984641W,Amelia Bedelia bakes off,OL238790A,2009.0,Herman Parish
OL16715144W,Cupcake queen,OL3132091A,2013.0,Marci Peschke
OL13917W,Gingerbread baby,OL22861A,1999.0,Jan Brett
OL14422W,Gus and Grandpa and the Christmas Cookies (Gus and Grandpa),OL22932A,1997.0,Claudia Mills
OL14860489W,Messy Bessey's Holidays,OL20989A,1999.0,Patricia McKissack
OL14860489W,Messy Bessey's Holidays,OL222436A,1999.0,Fredrick McKissack
OL19747699W,Bake from scratch,OL7527340A,2018.0,Brian Hart Hoffman
OL19963607W,Short & sweet,OL1479719A,2011.0,Dan Lepard
OL20874537W,Baking,OL223109A,1998.0,Emma Patmore
OL20164900W,Lily and the Yucky Cookies,OL30179A,2013.0,Sean Covey
OL20164900W,Lily and the Yucky Cookies,OL7302398A,2013.0,Stacy Curtis
OL3469009W,Understanding baking,OL578185A,1970.0,Joseph Amendola
