author_id,name
OL366346A,Maurice Sendak
OL216222A,Wayne Gisslen
OL3412520A,W Gisslen
OL7739076A,Wayne Gisslen
OL224488A,Sarah R. Labensky
OL3367646A,Klaus G. Tenbergen
OL2655431A,Eddy Van Damme
OL7702396A,Priscilla A. Martel
OL2650239A,Alan M. Hause
OL218575A,Alain Ducasse
OL6600101A,Frédéric Robert
OL3145265A,Frederic Robert
OL3953880A,Frédéric Robert
OL12561548A,Emma Gallegos
OL9943534A,Esperanza Martínez Pérez
OL7284282A,Esperanza Martínez
OL727759A,Gina Steer
OL432189A,Ann Nicol
OL7109354A,Karen Ostrove
OL583666A,Linda Ward Beech
OL68224A,Delia Smith
OL4427001A,Rosemary Wells
OL11666635A,"Lee, N. K. M. Mrs"
OL3050804A,Cq Products
OL6925271A,Virginia Kahl
OL3321665A,Robert N Munsch
OL659461A,Amy Scherber
OL18865A,Megan McDonald
OL4989210A,John Kirkland
OL7525635A,Laura Gehl
OL3082520A,Eleanor May
OL2668591A,Debbie White
OL3407892A,Glenn Rinsky
OL3407893A,Laura Halpin Rinsky
OL2680944A,Stanley P. Cauvain
OL637323A,Sharon Jennings
OL26595A,Paulette Bourgeois
OL1388476A,Jim Jinkins
OL38235A,Aliza Green
OL954525A,William J. Sultan
OL1015391A,Julius Emil Wihlfahrt
OL830913A,Flo Braker
OL627385A,Jessica Anderson
OL1516098A,Sherri Winston
OL10016340A,Anne McMullen
OL409477A,Jennifer A. Ericsson
OL31278A,Jane O'Connor
OL183694A,Eliza Leslie
OL2737609A,Ursula Solom
OL2628690A,Judith R. Hendricks
OL2737622A,Paula I. Figoni
OL58678A,Elizabeth David
OL2733067A,Fiona Patchett
OL2837909A,Paul Hollywood     
OL449500A,Elizabeth M. Harbison
OL402340A,Rose Impey
OL8140265A,Georgina Calderon-Dominguez
OL8140266A,Gustavo F. Gutierrez-Lopez
OL8140267A,Keshavan Niranjan
OL238790A,Herman Parish
OL3132091A,Marci Peschke
OL22861A,Jan Brett
OL22932A,Claudia Mills
OL20989A,Patricia McKissack
OL222436A,Fredrick McKissack
OL7527340A,Brian Hart Hoffman
OL1479719A,Dan Lepard
OL223109A,Emma Patmore
OL30179A,Sean Covey
OL7302398A,Stacy Curtis
OL578185A,Joseph Amendola
OL7215935A,United States. Department of Agriculture. Radio Service
OL341077A,Nigella Lawson
OL28815A,Eileen Christelow
OL8035529A,Lynne Avril
OL8595774A,Angela Goethals
OL446948A,Lisa Yockelson
OL7071477A,David Arrick
OL1425597A,Ella Burfoot
OL1415075A,A. Edlin
OL385881A,Paula Peck
OL155929A,Marion Harris Neil
OL3429208A,Jeff Hertzberg
OL3091585A,Richard Bertinet
OL2869461A,Sharon McConnell
OL459685A,Tom Jaine
OL3052445A,Emma Kay
OL1483719A,Sheryl Berk
OL5224965A,Eleanor Parkinson
OL9729837A,Walter Wheat
OL25990A,Patricia Polacco
OL45570A,Hannah Roche
OL6568994A,Gesine Bullock-Prado
OL4976567A,Jeff Martin
OL4528702A,Emil Braun
OL233814A,Enid Blyton
OL6964764A,Kathryn Littlewood
OL7661164A,Lei Shishak
OL7601083A,Sarah Vaughan
OL345563A,Sarah Vaughan
OL7512908A,Kevin Panetta
OL8080890A,Savanna Ganucheau
OL7720728A,Sara E. Hoffmann
OL8055473A,Katie Strange
OL7655770A,Katie Marshall
OL3074714A,Wendy Sand Eckel
OL7332229A,Carrie Berk
OL2837961A,Jan Hedh
OL7601945A,Sarit Packer
OL7607752A,Jammy Lannister
OL7598049A,Agatha Kulaga
OL7591520A,Megan Seling
OL579132A,Rachna Gilmore
OL3108388A,Michele Marcotte
OL344225A,Samuel A. Matz
OL1427144A,Rob Scotton
OL7414150A,Amy Hsu Lin
OL535666A,Chris Riddell
OL216905A,Jeffrey Alford
OL2757365A,Naomi Duguid
OL3461330A,Gaile Parkin
OL3080290A,Pat Sinclair
OL19728A,Cynthia Rylant
OL3288054A,Bonny Wolf
OL3065012A,Russell Jeavons
OL1801018A,Mariana Honig
OL59792A,Georgina Campbell
OL2043840A,Ivan Baker
OL2864928A,Publications International
OL3134087A,Rachel Carlyle-Gauthier
OL3134088A,Billie McCrea
OL3733114A,Michel Suas
OL404584A,Nick Malgieri
OL455565A,Dorie Greenspan
OL385604A,Dede Wilson
OL9922250A,Parkinson Eleanor
OL395598A,Linda Collister
OL544826A,Jim Fobel
OL543494A,Annette Wolter
OL581363A,Joanne Lamb Hayes
OL25472A,Pamela Duncan Edwards
OL888947A,Mary Chalmers
OL925940A,Catherine Atkinson
OL956650A,E. J. Pyler
OL828630A,Bill Neal
OL1462472A,Rita Davenport
OL8241648A,Weibiao Zhou
OL949149A,Y. H. Hui
OL2762200A,Jennifer Appel
OL1431232A,Allysa Torey
OL3148095A,Sophie Michell
OL231941A,Bette Hagman
OL1391503A,Isis Crawford
OL222413A,Jim Aylesworth
OL6890205A,Zilly Rosen
OL6847952A,Meg Ray
OL1434569A,Doris Christopher
OL6510018A,Tarek Malouf
OL4994688A,Tamar Cohen
OL19365A,Jacqueline Wilson
