book_id,title,author_id,first_publish_year
OL2568868W,In the Night Kitchen,OL366346A,1889.0
OL1802168W,Panaderia y Reposteria para profesionales/Professional Baking,OL216222A,1985.0
OL1802168W,Panaderia y Reposteria para profesionales/Professional Baking,OL3412520A,1985.0
OL1802168W,Panaderia y Reposteria para profesionales/Professional Baking,OL7739076A,1985.0
OL1874828W,On baking,OL224488A,2004.0
OL1874828W,On baking,OL3367646A,2004.0
OL1874828W,On baking,OL2655431A,2004.0
OL1874828W,On baking,OL7702396A,2004.0
OL1874828W,On baking,OL2650239A,2004.0
OL1824104W,Grand livre de cuisine,OL218575A,2002.0
OL1824104W,Grand livre de cuisine,OL6600101A,2002.0
OL1824104W,Grand livre de cuisine,OL3145265A,2002.0
OL1824104W,Grand livre de cuisine,OL3953880A,2002.0
OL1824104W,Grand livre de cuisine,OL12561548A,2002.0
OL1824104W,Grand livre de cuisine,OL9943534A,2002.0
OL1824104W,Grand livre de cuisine,OL7284282A,2002.0
OL21043191W,Step-By-Step Practical Recipes,OL727759A,2015.0
OL21043191W,Step-By-Step Practical Recipes,OL432189A,2015.0
OL16591917W,Rise & shine,OL7109354A,2012.0
OL83047W,The Magic School Bus Gets Baked in a Cake,OL583666A,1995.0
OL809673W,The Delia Collection,OL68224A,2003.0
OL32569W,Bunny Cakes (Max and Ruby),OL4427001A,1997.0
OL32147209W,"The cook's own book, and housekeeper's register",OL11666635A,1835.0
OL8874576W,Gifts in a Jar,OL3050804A,2001.0
OL174402W,Duchess Bakes a Cake,OL6925271A,1955.0
OL11318217W,"Mmm, cookies!",OL3321665A,2000.0
OL3752828W,Amy's Bread,OL659461A,1996.0
OL443621W,The rule of three,OL18865A,2009.0
OL22216561W,"The Modern baker, confectioner and caterer",OL4989210A,1908.0
OL19720025W,Koala challah,OL7525635A,2017.0
OL20907526W,Albert the Muffin-maker,OL3082520A,2014.0
OL8015841W,Dads Win Prizes,OL2668591A,1999.0
OL9367267W,The pastry chef's companion,OL3407892A,2008.0
OL9367267W,The pastry chef's companion,OL3407893A,2008.0
OL8056208W,Bakery food manufacture and quality,OL2680944A,2008.0
OL3752827W,The sweeter side of Amy's Bread,OL659461A,2008.0
OL3686464W,Franklin and the Cookies,OL637323A,2004.0
OL3686464W,Franklin and the Cookies,OL26595A,2004.0
OL5706794W,Pinky Dinky Doo,OL1388476A,2004.0
OL539786W,Starting with ingredients,OL38235A,2006.0
OL4646286W,Practical baking,OL954525A,1965.0
OL4816092W,"A treatise on flour, yeast, fermentation, and baking",OL1015391A,1906.0
OL4283728W,The simple art of perfect baking,OL830913A,1985.0
OL21858865W,Brownies with Benjamin Franklin,OL627385A,2016.0
OL15631919W,President of the whole fifth grade,OL1516098A,2010.0
OL26909782W,Out and about at the Bakery,OL10016340A,2002.0
OL26909782W,Out and about at the Bakery,OL409477A,2002.0
OL15105540W,Fancy Nancy and the delectable cupcakes,OL31278A,2010.0
OL1646086W,"Seventy-five receipts for pastry, cakes, and sweetmeats",OL183694A,1829.0
OL8227446W,The Low-Carb Baking and Dessert Cookbook,OL2737609A,2004.0
OL272674W,The Baker's Apprentice,OL2628690A,2006.0
OL8227472W,How Baking Works,OL2737622A,2003.0
OL727633W,English bread and yeast cookery,OL58678A,1977.0
OL8213008W,The Usborne Children's Book of Baking (Children's Cooking),OL2733067A,2006.0
OL8494033W,100 Great Breads,OL2837909A,2004.0
OL2946628W,Loaves of Fun,OL449500A,1997.0
OL29030179W,Professional Baking,OL7739076A,2012.0
OL2743304W,The Woman Who Fooled the Fairies,OL402340A,2005.0
OL21255276W,Advances in Heat Transfer Unit Operations,OL8140265A,2016.0
OL21255276W,Advances in Heat Transfer Unit Operations,OL8140266A,2016.0
OL21255276W,Advances in Heat Transfer Unit Operations,OL8140267A,2016.0
OL1984641W,Amelia Bedelia bakes off,OL238790A,2009.0
OL16715144W,Cupcake queen,OL3132091A,2013.0
OL13917W,Gingerbread baby,OL22861A,1999.0
OL14422W,Gus and Grandpa and the Christmas Cookies (Gus and Grandpa),OL22932A,1997.0
OL14860489W,Messy Bessey's Holidays,OL20989A,1999.0
OL14860489W,Messy Bessey's Holidays,OL222436A,1999.0
OL19747699W,Bake from scratch,OL7527340A,2018.0
OL19963607W,Short & sweet,OL1479719A,2011.0
OL20874537W,Baking,OL223109A,1998.0
OL20164900W,Lily and the Yucky Cookies,OL30179A,2013.0
OL20164900W,Lily and the Yucky Cookies,OL7302398A,2013.0
OL3469009W,Understanding baking,OL578185A,1970.0
OL24978286W,Questions and answers,OL7215935A,1929.0
OL2455829W,How to Be a Domestic Goddess,OL341077A,2000.0
OL79817W,Five Little Monkeys Bake a Birthday Cake,OL28815A,2004.0
OL15269345W,Amelia Bedelia's First Apple Pie,OL238790A,2010.0
OL15269345W,Amelia Bedelia's First Apple Pie,OL8035529A,2010.0
OL15269345W,Amelia Bedelia's First Apple Pie,OL8595774A,2010.0
OL15632802W,BakingStyle,OL446948A,2011.0
OL16484392W,The Butch Bakery cookbook,OL7071477A,2011.0
OL19987417W,How to bake a book,OL1425597A,2014.0
